"No.","Time","Source","Delta Time","Destination","Protocol","Length","Info"
"2325","69195.855000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"2326","69195.856000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"2327","69195.857000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"2328","69195.857000","localhost ()","0.000000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"2329","69195.857000","localhost ()","0.000000","remote ()","ATT","44","Sent Write Command, Handle: 0x0012 (Unknown)"
"2330","69195.858000","localhost ()","0.001000","remote ()","ATT","14","Sent Write Command, Handle: 0x0012 (Unknown)"
"2331","69195.993000","controller","0.135000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2332","69195.993000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2333","69195.998000","controller","0.005000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2334","69195.998000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2336","69196.188000","controller","0.129000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2338","69196.285000","controller","0.097000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2339","69196.285000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2340","69196.428000","controller","0.143000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2341","69196.428000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2343","69196.574000","remote ()","0.113000","localhost ()","ATT","18","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2344","69196.574000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2345","69196.574000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2346","69196.741000","controller","0.167000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2351","69197.875000","remote ()","0.803000","localhost ()","ATT","14","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2352","69198.021000","remote ()","0.146000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"2515","69200.921000","controller","0.243000","host","HCI_EVT","13","Rcvd LE Meta (LE Connection Update Complete)"
"2527","69202.908000","remote ()","0.358000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"2533","69203.603000","localhost ()","0.176000","remote ()","ATT","25","Sent Write Command, Handle: 0x0012 (Unknown)"
"2534","69203.657000","remote ()","0.054000","localhost ()","ATT","26","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2535","69203.661000","localhost ()","0.004000","remote ()","ATT","15","Sent Write Command, Handle: 0x0012 (Unknown)"
"2536","69203.665000","controller","0.004000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2537","69203.838000","controller","0.173000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2539","69204.317000","remote ()","0.190000","localhost ()","ATT","19","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2542","69204.351000","remote ()","0.009000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2543","69204.381000","remote ()","0.030000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2544","69204.381000","remote ()","0.000000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2545","69204.382000","remote ()","0.001000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2546","69204.439000","remote ()","0.057000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2547","69204.441000","remote ()","0.002000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2548","69204.499000","remote ()","0.058000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2549","69204.528000","remote ()","0.029000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2550","69204.559000","remote ()","0.031000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2551","69204.560000","remote ()","0.001000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2552","69204.562000","remote ()","0.002000","localhost ()","ATT","37","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2553","69204.590000","remote ()","0.028000","localhost ()","ATT","21","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2557","69204.917000","remote ()","0.029000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"2560","69205.469000","localhost ()","0.218000","remote ()","ATT","22","Sent Write Command, Handle: 0x0012 (Unknown)"
"2561","69205.517000","remote ()","0.048000","localhost ()","ATT","18","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2562","69205.519000","localhost ()","0.002000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"2563","69205.520000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"2564","69205.521000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"2565","69205.522000","controller","0.001000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2566","69205.522000","localhost ()","0.000000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"2567","69205.523000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"2568","69205.524000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"2569","69205.525000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"2570","69205.526000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"2571","69205.526000","localhost ()","0.000000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"2572","69205.527000","localhost ()","0.001000","remote ()","ATT","43","Sent Write Command, Handle: 0x0012 (Unknown)"
"2573","69205.527000","localhost ()","0.000000","remote ()","ATT","14","Sent Write Command, Handle: 0x0012 (Unknown)"
"2575","69205.551000","controller","0.007000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2576","69205.551000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2577","69205.579000","controller","0.028000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2578","69205.579000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2579","69205.583000","controller","0.004000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2580","69205.583000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2581","69205.613000","controller","0.030000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2582","69205.613000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2583","69205.615000","controller","0.002000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2584","69205.615000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2588","69205.638000","controller","0.005000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2594","69206.148000","remote ()","0.040000","localhost ()","ATT","18","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2601","69207.649000","remote ()","0.017000","localhost ()","ATT","14","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2761","69209.957000","remote ()","0.128000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"2772","69211.698000","remote ()","0.028000","localhost ()","L2CAP","21","Rcvd Connection Parameter Update Request"
"2774","69211.698000","localhost ()","0.000000","remote ()","L2CAP","15","Sent Connection Parameter Update Response (Accepted)"
"2776","69211.878000","controller","0.174000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2778","69212.236000","controller","0.026000","host","HCI_EVT","13","Rcvd LE Meta (LE Connection Update Complete)"
"2789","69214.021000","localhost ()","0.584000","remote ()","ATT","25","Sent Write Command, Handle: 0x0012 (Unknown)"
"2790","69214.221000","controller","0.200000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2792","69214.263000","remote ()","0.042000","localhost ()","ATT","26","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2793","69214.267000","localhost ()","0.004000","remote ()","ATT","15","Sent Write Command, Handle: 0x0012 (Unknown)"
"2797","69214.559000","controller","0.211000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2801","69215.278000","remote ()","0.009000","localhost ()","ATT","19","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2802","69215.278000","remote ()","0.000000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2803","69215.279000","remote ()","0.001000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2804","69215.282000","remote ()","0.003000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2805","69215.423000","remote ()","0.141000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2806","69215.424000","remote ()","0.001000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2808","69215.570000","remote ()","0.027000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2809","69215.570000","remote ()","0.000000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2810","69215.571000","remote ()","0.001000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2811","69215.713000","remote ()","0.142000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2812","69215.715000","remote ()","0.002000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2813","69215.716000","remote ()","0.001000","localhost ()","ATT","21","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2814","69215.857000","remote ()","0.141000","localhost ()","ATT","21","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"2815","69215.857000","remote ()","0.000000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"2820","69216.734000","localhost ()","0.252000","remote ()","ATT","22","Sent Write Command, Handle: 0x0012 (Unknown)"
